"V1" "V2"
"result.1" 1 0.368306353955924
"result.2" 2 0.398536505303767
"result.3" 3 0.431976748804959
"result.4" 4 0.39673611789963
"result.5" 5 1.13737836761798
"result.6" 6 0.601392903862027
"result.7" 7 0.437368629826992
"result.8" 8 0.390418198246192
"result.9" 9 0.421793752047
"result.10" 10 0.390308131100939
"result.11" 11 0.704717921881775
"result.12" 12 0.417999453474044
"result.13" 13 0.405378484252864
"result.14" 14 0.508174271158613
"result.15" 15 0.382082530572864
"result.16" 16 0.461593724795459
"result.17" 17 0.479622393884347
"result.18" 18 0.433349728533967
"result.19" 19 0.359869297467757
"result.20" 20 0.644784403635123
"result.21" 21 0.932463939460891
"result.22" 22 0.765508248418862
"result.23" 23 0.491081058185122
"result.24" 24 0.328824898076686
"result.25" 25 0.426790895655855
"result.26" 26 0.368307912368817
"result.27" 27 0.453375731427164
"result.28" 28 0.448084444477183
"result.29" 29 0.376044625966975
"result.30" 30 0.326297618186188
"result.31" 31 0.518800359972991
"result.32" 32 1.03203045043056
"result.33" 33 0.425876241300474
"result.34" 34 0.429948065352201
"result.35" 35 0.489912969938214
"result.36" 36 0.377561998502001
"result.37" 37 0.525680916719149
"result.38" 38 0.711754047920157
"result.39" 39 0.367473856860121
"result.40" 40 0.418650170392834
"result.41" 41 0.340776181494562
"result.42" 42 0.490894132009269
"result.43" 43 0.347599539729837
"result.44" 44 1.10894098515317
"result.45" 45 0.526747426840588
"result.46" 46 0.641454181947612
"result.47" 47 0.373084907281688
"result.48" 48 0.49825699706567
"result.49" 49 0.396978254869052
"result.50" 50 0.5272760396339
"result.51" 51 0.45159558450202
"result.52" 52 0.339139720332047
"result.53" 53 0.461864096879183
"result.54" 54 0.423476416307355
"result.55" 55 0.367505868662312
"result.56" 56 0.370381153098689
"result.57" 57 0.395134373105732
"result.58" 58 0.348975284795721
"result.59" 59 0.445693161356011
"result.60" 60 0.38339949063089
"result.61" 61 0.355963823516001
"result.62" 62 0.487330211460323
"result.63" 63 0.506172984519152
"result.64" 64 0.603509187044871
"result.65" 65 0.374379929819875
"result.66" 66 0.307316066513714
"result.67" 67 0.323231213579727
"result.68" 68 0.329526317571961
"result.69" 69 0.415684495528267
"result.70" 70 0.438218513732186
"result.71" 71 0.471979099116218
"result.72" 72 0.472984793388643
"result.73" 73 0.744737634827857
