"V1" "V2"
"result.1" 1 12.2388618057049
"result.2" 2 2.7030213293016
"result.3" 3 0.521469818680746
"result.4" 4 1.80700498062264
"result.5" 5 7.29661026402877
"result.6" 6 NA
"result.7" 7 2.4728013500026
"result.8" 8 1.57551254028226
"result.9" 9 2.15863255702662
"result.10" 10 2.69268216462921
"result.11" 11 5.58744359525463
"result.12" 12 NA
"result.13" 13 10.9638257742216
"result.14" 14 0.661397061918207
"result.15" 15 NA
"result.16" 16 8.38629109576117
"result.17" 17 3.04082608528504
"result.18" 18 NA
"result.19" 19 1.86187803262739
"result.20" 20 2.37157081381121
"result.21" 21 2.4219569995533
"result.22" 22 2.45602887890664
"result.23" 23 3.9908910434224
"result.24" 24 1.12201586940849
"result.25" 25 4.91702004237334
"result.26" 26 2.73483583118133
"result.27" 27 1.24370924505657
"result.28" 28 6.0954056999258
"result.29" 29 2.10958959776036
"result.30" 30 7.13001509120448
"result.31" 31 6.58923140420666
"result.32" 32 8.74618898540374
"result.33" 33 2.28485363372289
"result.34" 34 1.75775990417279
"result.35" 35 3.59741731616849
"result.36" 36 9.38828272827926
"result.37" 37 2.24461699716114
"result.38" 38 8.12959152062889
"result.39" 39 1.08948889985851
"result.40" 40 0.841513562874364
"result.41" 41 2.74442422889436
"result.42" 42 3.51088992447075
"result.43" 43 15.0644142449726
"result.44" 44 0.431469690296532
"result.45" 45 8.27051391061167
"result.46" 46 1.84557908483898
"result.47" 47 2.45060765617208
"result.48" 48 1.14485437643774
"result.49" 49 7.95304817784587
"result.50" 50 10.0718751200937
"result.51" 51 1.37573128652014
"result.52" 52 0.476439718149691
"result.53" 53 1.05770610112381
"result.54" 54 NA
"result.55" 55 1.48987148714742
"result.56" 56 0.125914412965354
"result.57" 57 NA
"result.58" 58 3.15430619113056
"result.59" 59 1.12545981538921
"result.60" 60 3.46622885602908
"result.61" 61 7.84766237637753
"result.62" 62 NA
"result.63" 63 0.688635872446362
"result.64" 64 2.68141378240663
"result.65" 65 3.33697871467065
"result.66" 66 0.229120699925975
"result.67" 67 10.1991438871751
"result.68" 68 3.84463505451265
"result.69" 69 0.691346702478831
"result.70" 70 NA
"result.71" 71 4.07300455293389
"result.72" 72 4.2911613402347
"result.73" 73 0.70902558194618
"result.74" 74 NA
"result.75" 75 8.47463423058169
"result.76" 76 NA
"result.77" 77 NA
"result.78" 78 2.60622395885947
"result.79" 79 NA
"result.80" 80 NA
"result.81" 81 NA
"result.82" 82 2.60666719420415
"result.83" 83 0.296557334367043
"result.84" 84 0.689351273549884
"result.85" 85 NA
"result.86" 86 2.34276278691451
"result.87" 87 5.98075094246654
"result.88" 88 5.26078273979206
"result.89" 89 9.16383172658063
"result.90" 90 NA
"result.91" 91 NA
"result.92" 92 5.49464036752351
"result.93" 93 3.36155682858636
"result.94" 94 1.52705289404029
"result.95" 95 9.67520807758548
"result.96" 96 2.11521908255114
"result.97" 97 3.03525496709184
"result.98" 98 NA
"result.99" 99 2.02140034362539
"result.100" 100 4.51744439851161
"result.101" 101 8.35746576923346
"result.102" 102 1.34045370850343
"result.103" 103 3.60783420112699
"result.104" 104 2.32076226661573
"result.105" 105 8.24324220258851
"result.106" 106 3.41459786698987
"result.107" 107 3.66752028500537
"result.108" 108 4.13522173100032
"result.109" 109 2.72871145417526
"result.110" 110 NA
"result.111" 111 3.49684387535392
"result.112" 112 2.3882306613445
"result.113" 113 NA
"result.114" 114 3.21413600121377
"result.115" 115 4.78195957486356
"result.116" 116 7.95004254702235
"result.117" 117 0.329279894453874
"result.118" 118 6.30144882236106
"result.119" 119 1.71955484029495
"result.120" 120 NA
"result.121" 121 0.263178854843087
