"dn" "gamma" "eta" "dm" "alpha" "rn"
"paras.ests.ds1" 0.0100960279054436 0.0488727545293668 9.90077410272053 0.0102034572834628 0.100494469384554 4.73299860131148
"paras.ests.ds2" 0.00882254191146553 0.0497366767150096 10.0589562013344 0.0102330928528694 0.100565242089245 4.61761904840783
"paras.ests.ds3" 0.00940016230580422 0.0493508468738113 9.9347472914643 0.0103048845919845 0.0996391362334458 4.76852649513619
"paras.ests.ds4" 0.0089810245465781 0.0488335598672487 10.0765538423491 0.0100838550187984 0.101658216538211 4.66632517920427
"paras.ests.ds5" 0.0111570478954375 0.0461674690252902 9.99527704430401 0.0100801744430953 0.10060091666369 4.69821805289361
"paras.ests.ds6" 0.0122123154394532 0.0494258764471282 9.8632565579727 0.00944305051824894 0.0999310515777134 4.7741054103589
"paras.ests.ds7" 0.00890012814979605 0.048944819451966 10.1361996904907 0.0105306026821788 0.100012810850081 4.6164141827921
"paras.ests.ds8" 0.0110910756587469 0.0479651723991732 9.92698541308183 0.00999346257783952 0.100083698793878 4.64076464421045
"paras.ests.ds9" 0.0109384806935415 0.0538043024414373 9.93479625699632 0.00968924554594812 0.0988280875021615 5.06485423323323
"paras.ests.ds10" 0.00977815041750406 0.0461331963820841 9.99864535030061 0.0102470534169502 0.101259790372417 4.27850586209153
